abb,rival,is_local,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,num_jornada,id_match,matchweek_number,logo_cuadrado,logo_rival
BAR,Todos,Todas,11,2,4,5,12,43,6,15,6,42,29,0,11,3,33,18,2,5,7,19,34,4,16,7,32,31,3,14,3,36,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA
BAR,Todos,Todas Local,7,1,3,4,8,48,8,15,8,46,33,0,12,4,38,15,1,4,6,12,44,6,20,8,46,26,2,10,2,30,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA
BAR,Todos,Todas  Visitante,14,3,6,6,15,38,4,16,5,38,26,0,10,3,29,20,4,6,7,26,25,3,11,6,19,36,3,18,3,41,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA
BAR,VBC,Visitante,9,1,3,6,5,50,7,18,5,43,22,1,12,5,31,18,3,6,10,29,34,5,12,9,28,41,4,15,5,54,1,104467,Jor. 1,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
BAR,HIO,Local,11,3,3,4,11,43,5,16,8,44,32,0,13,4,32,10,2,0,3,11,65,7,30,8,61,16,0,5,4,24,2,104473,Jor. 2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BAR,UNI,Visitante,16,4,6,4,17,39,3,19,6,45,28,0,10,2,33,13,1,7,5,22,22,1,9,3,5,42,3,22,3,42,3,104485,Jor. 3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png
BAR,BRE,Local,5,1,4,1,8,66,12,14,9,67,29,0,13,7,34,15,2,4,8,15,36,5,8,2,30,34,3,11,4,33,4,104487,Jor. 4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png
BAR,UCM,Local,9,1,2,5,10,32,4,18,6,27,37,0,12,1,41,25,1,2,10,17,17,3,23,12,32,39,5,15,1,40,5,104501,Jor. 5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
BAR,GIR,Visitante,18,3,5,7,22,31,5,16,4,31,29,0,4,2,27,46,10,9,7,50,23,3,10,4,23,27,2,16,4,27,6,104509,Jor. 6,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png
BAR,BKN,Local,4,0,4,7,2,53,11,11,7,48,34,1,11,3,43,10,0,8,5,6,56,7,21,11,59,17,1,8,1,24,7,104521,Jor. 7,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png
BAR,DGC,Visitante,15,4,8,6,17,33,3,9,6,35,24,1,15,2,24,5,0,2,6,1,21,2,12,9,21,35,3,20,0,41,8,104530,Jor. 8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
BAX,Todos,Todas,26,2,6,12,24,28,4,9,2,23,28,2,15,3,29,16,2,3,5,15,36,4,12,6,30,38,2,21,4,50,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA
BAX,Todos,Todas Local,26,3,6,12,26,32,4,10,2,30,27,3,17,3,29,8,1,2,4,5,40,4,14,6,34,31,2,20,3,40,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA
BAX,Todos,Todas  Visitante,26,1,6,12,23,24,3,9,2,16,29,2,12,4,28,24,3,4,6,26,31,3,10,6,27,45,3,23,5,60,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA
BAX,LLT,Visitante,22,0,8,14,25,32,4,10,3,29,39,3,8,6,34,31,5,6,5,28,34,4,9,6,43,57,4,22,10,73,1,104461,Jor. 1,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png
BAX,COV,Local,18,1,5,12,25,34,4,11,1,28,31,3,20,6,39,6,1,1,3,1,27,4,15,4,18,33,1,29,2,40,2,104471,Jor. 2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
BAX,DGC,Local,24,5,8,9,15,28,4,7,2,25,28,3,12,3,29,12,3,1,6,7,44,4,12,5,51,31,5,15,5,39,3,104477,Jor. 3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
